UserId;WineId;Rating
1;2090;1
1;7510;5
1;6716;2
1;12211;0
1;4970;0
1;19804;4
1;1755;5
1;19120;2
1;11640;3
1;14884;3
1;19068;3
1;5268;2
1;25057;3
1;28788;3
1;20136;0
1;1856;2
1;18425;4
1;1177;4
1;5020;4
1;30866;0
1;23875;2
1;2750;1
1;12786;0
1;18266;5
1;30026;1
1;25201;2
1;1366;2
1;13544;4
1;21159;5
1;15579;5
1;18844;5
1;2691;5
1;3609;3
1;20618;3
1;14366;1
1;8945;5
1;22818;0
1;7414;3
1;15625;2
1;12379;1
1;16475;4
1;820;0
1;12907;1
1;21506;1
1;6530;2
1;6273;1
1;4511;3
1;14012;4
1;17395;3
1;12737;5
1;18013;4
1;31563;2
1;15864;2
1;14544;3
1;18624;0
1;29679;0
1;7508;1
1;5301;0
1;3661;1
1;22072;0
1;766;0
1;25274;4
1;693;0
1;26822;4
1;4157;3
1;25371;5
1;14985;1
1;5470;2
1;27020;0
1;9997;5
1;4874;2
1;4788;1
1;2331;0
1;14558;4
1;20482;3
1;8659;5
1;9829;3
1;4243;2
1;26647;0
1;18332;2
1;16490;3
1;20810;0
1;12517;5
1;3165;1
1;5293;5
1;20665;2
1;9852;3
1;22584;0
1;23919;1
1;16044;1
1;24904;3
1;9391;4
1;13164;0
1;2339;5
1;29129;2
1;30232;5
1;4697;2
1;14354;0
1;22171;5
1;5249;5
1;12342;2
1;28301;4
1;22697;4
1;9290;5
1;16758;4
1;28678;3
1;14967;0
1;18622;2
1;8924;0
1;1925;0
1;17838;5
1;11350;2
1;4944;5
1;6719;2
1;2970;3
1;8455;1
1;11556;0
1;19599;1
1;19549;0
1;26527;4
1;13193;5
1;17742;3
1;21455;4
1;7599;5
1;19790;3
1;18721;1
1;12582;1
1;9313;0
1;20142;2
1;27294;4
1;32195;5
1;32517;5
1;4074;3
1;22040;1
1;13810;1
1;12184;1
1;2227;4
1;23107;3
1;1493;0
1;16038;5
1;32316;2
1;9277;0
1;1602;3
1;31261;1
1;31202;0
1;32809;0
1;6523;3
1;26875;2
1;19198;0
1;21756;4
1;23795;3
1;9447;4
1;16986;0
1;24462;3
1;15566;5
1;5989;5
1;1504;3
1;20968;1
1;5878;1
1;945;0
1;17290;4
1;5033;4
1;20656;4
1;6415;0
1;723;4
1;24376;1
1;1110;0
1;32097;5
1;23041;3
1;25312;1
1;32116;2
1;7620;0
1;28557;5
1;27723;5
1;22888;0
1;3864;1
1;23229;0
1;7584;5
1;4511;5
1;27712;0
1;31555;0
1;22332;4
1;3494;5
1;25889;2
1;23906;2
1;16739;1
1;22653;3
1;3657;5
1;27019;0
1;8711;1
1;4228;2
1;28303;0
1;4673;5
1;13775;4
1;23094;3
1;1420;3
1;13900;5
1;10600;4
1;18328;4
1;23334;5
1;16171;2
1;9590;1
1;14643;3
1;21371;5
1;26935;5
1;20464;1
1;10007;1
1;12241;5
1;1869;5
1;19965;1
1;2294;4
1;22277;3
1;21932;1
1;22115;2
1;5640;4
1;27318;3
1;16385;5
1;15876;2
1;24222;4
1;18461;1
1;4163;3
1;351;4
1;27930;4
1;17096;2
1;1524;1
1;22576;0
1;29756;4
1;4722;5
1;15388;1
1;32482;5
1;22530;5
1;16024;5
1;9779;3
1;23572;3
1;14050;4
1;1839;5
1;27254;1
1;12064;2
1;740;1
1;31548;4
1;10238;0
1;16922;5
1;30467;0
1;31472;0
1;6389;3
1;8997;0
1;8653;2
1;22511;5
1;31836;5
1;13428;5
1;11632;0
1;28895;1
1;21407;0
1;10846;0
1;19974;0
1;2026;2
1;14604;4
1;7174;0
1;14888;5
1;13089;2
1;1294;0
1;30391;2
1;9185;2
1;16561;4
1;11605;5
1;22210;4
1;5001;1
1;11232;2
1;11093;1
1;6872;5
1;5413;1
1;8010;1
1;3777;4
1;9168;1
1;23357;3
1;4949;0
1;285;1
1;14976;2
1;5451;4
1;21632;5
1;18149;5
1;4466;0
1;30440;3
1;17340;4
1;5932;2
1;32620;5
1;6568;1
1;19574;2
1;11382;4
1;6112;2
1;1914;5
1;14265;1
1;28990;2
1;5260;5
1;17363;4
1;12484;2
1;12834;1
1;13654;5
1;27598;1
1;2536;4
1;28253;0
1;19219;3
1;6363;0
1;3315;4
1;28601;1
1;6857;3
1;1910;3
1;5589;4
1;14062;5
1;29244;4
1;10706;4
1;2974;5
1;2598;1
1;5278;5
1;24579;0
1;32551;2
1;1438;2
1;25793;1
1;8540;1
1;28336;2
1;20169;3
1;427;5
1;21236;1
1;13308;3
1;26295;4
1;6858;2
1;28849;4
1;30222;2
1;19523;1
1;15617;4
1;20154;0
1;32768;3
1;6590;2
1;16413;4
1;21899;0
1;15523;1
1;17802;5
1;10766;0
1;23065;0
1;29358;5
1;19424;1
1;14262;4
1;8180;1
1;13576;0
1;623;5
1;19471;0
1;31014;5
1;29787;5
1;7304;2
1;23699;0
1;11720;0
1;4009;5
1;5069;0
1;17699;3
1;22479;2
1;4927;5
1;28187;4
1;15087;3
1;24520;3
1;7044;1
1;9571;2
1;15772;3
1;23519;1
1;30790;3
1;30885;1
1;12789;5
1;26699;5
1;276;1
1;7516;1
1;16287;0
1;25286;1
1;14058;5
1;9139;1
1;6476;1
1;6444;0
1;20083;3
1;13861;0
1;19104;1
1;28854;2
1;7716;4
1;11823;0
1;4757;5
1;31848;0
1;23927;3
1;5091;2
1;22991;2
1;16018;3
1;30387;4
1;4596;0
1;18622;3
1;7173;4
1;4383;3
1;30665;1
1;4524;0
1;13976;1
